date & time, temperature
2020-04-21 03:51:58.627384,(24.187, 75.5366)
2020-04-21 03:52:04.546821,(24.187, 75.5366)
2020-04-21 03:52:10.466846,(24.125, 75.425)
2020-04-21 03:52:16.386859,(24.125, 75.425)
2020-04-21 03:52:22.306834,(24.125, 75.425)
2020-04-21 03:52:28.226860,(24.125, 75.425)
2020-04-21 03:52:34.146882,(24.125, 75.425)
2020-04-21 03:52:40.066893,(24.125, 75.425)
2020-04-21 03:52:45.986832,(24.125, 75.425)
2020-04-21 03:52:51.906883,(24.125, 75.425)
2020-04-21 03:52:57.826851,(24.125, 75.425)
2020-04-21 03:53:03.746851,(24.125, 75.425)
2020-04-21 03:53:09.666856,(24.125, 75.425)
2020-04-21 03:53:15.586924,(24.125, 75.425)
2020-04-21 03:53:21.506864,(24.125, 75.425)
2020-04-21 03:53:27.427071,(24.125, 75.425)
2020-04-21 03:53:34.226319,(24.125, 75.425)
2020-04-21 03:53:40.147114,(24.125, 75.425)
2020-04-21 03:53:46.066833,(24.125, 75.425)
2020-04-21 03:53:51.986860,(24.125, 75.425)
2020-04-21 03:53:57.906853,(24.125, 75.425)
2020-04-21 03:54:03.826848,(24.125, 75.425)
2020-04-21 03:54:09.746851,(24.125, 75.425)
2020-04-21 03:54:15.666837,(24.125, 75.425)
2020-04-21 03:54:21.586923,(24.125, 75.425)
2020-04-21 03:54:27.506833,(24.125, 75.425)
2020-04-21 03:54:33.426855,(24.125, 75.425)
2020-04-21 03:54:39.346844,(24.125, 75.425)
2020-04-21 03:54:45.266844,(24.125, 75.425)
2020-04-21 03:54:51.186880,(24.125, 75.425)
2020-04-21 03:54:57.106846,(24.125, 75.425)
2020-04-21 03:55:03.026828,(24.125, 75.425)
2020-04-21 03:55:08.946814,(24.125, 75.425)
2020-04-21 03:55:14.866827,(24.125, 75.425)
2020-04-21 03:55:20.786924,(24.125, 75.425)
2020-04-21 03:55:26.706838,(24.125, 75.425)
2020-04-21 03:55:32.626862,(24.125, 75.425)
2020-04-21 03:55:38.546820,(24.125, 75.425)
2020-04-21 03:55:44.466827,(24.125, 75.425)
2020-04-21 03:55:50.386857,(24.125, 75.425)
2020-04-21 03:55:56.306828,(24.125, 75.425)
2020-04-21 03:56:02.226833,(24.125, 75.425)
2020-04-21 03:56:08.146836,(24.125, 75.425)
2020-04-21 03:56:14.066843,(24.125, 75.425)
2020-04-21 03:56:19.986863,(24.125, 75.425)
2020-04-21 03:56:25.906821,(24.125, 75.425)
2020-04-21 03:56:31.826835,(24.125, 75.425)
2020-04-21 03:56:37.746840,(24.125, 75.425)
2020-04-21 03:56:43.666829,(24.125, 75.425)
2020-04-21 03:56:49.586873,(24.125, 75.425)
2020-04-21 03:56:55.506854,(24.062, 75.3116)
2020-04-21 03:57:01.426830,(24.062, 75.3116)
2020-04-21 03:57:07.346844,(24.062, 75.3116)
2020-04-21 03:57:13.266837,(24.062, 75.3116)
2020-04-21 03:57:19.186891,(24.062, 75.3116)
2020-04-21 03:57:25.106824,(24.125, 75.425)
2020-04-21 03:57:31.026853,(24.062, 75.3116)
2020-04-21 03:57:36.946885,(24.062, 75.3116)
2020-04-21 03:57:42.866883,(24.062, 75.3116)
2020-04-21 03:57:48.786835,(24.062, 75.3116)
2020-04-21 03:57:54.706798,(24.062, 75.3116)
2020-04-21 03:58:00.626847,(24.062, 75.3116)
2020-04-21 03:58:06.546863,(24.062, 75.3116)
2020-04-21 03:58:12.466832,(24.062, 75.3116)
2020-04-21 03:58:18.386856,(24.062, 75.3116)
2020-04-21 03:58:24.306828,(24.062, 75.3116)
2020-04-21 03:58:30.226859,(24.062, 75.3116)
2020-04-21 03:58:36.146859,(24.062, 75.3116)
2020-04-21 03:58:42.066931,(24.062, 75.3116)
2020-04-21 03:58:47.986883,(24.062, 75.3116)
2020-04-21 03:58:53.906857,(24.062, 75.3116)
2020-04-21 03:58:59.826865,(24.062, 75.3116)
2020-04-21 03:59:05.746859,(24.062, 75.3116)
2020-04-21 03:59:11.666856,(24.062, 75.3116)
2020-04-21 03:59:17.586888,(24.062, 75.3116)
2020-04-21 03:59:23.506901,(24.062, 75.3116)
2020-04-21 03:59:29.426866,(24.062, 75.3116)
2020-04-21 03:59:35.346857,(24.062, 75.3116)
2020-04-21 03:59:41.266864,(24.062, 75.3116)
2020-04-21 03:59:47.186841,(24.062, 75.3116)
2020-04-21 03:59:53.106866,(24.062, 75.3116)
2020-04-21 03:59:59.026851,(24.062, 75.3116)
2020-04-21 04:00:04.946837,(24.062, 75.3116)
2020-04-21 04:00:10.866835,(24.062, 75.3116)
2020-04-21 04:00:16.786874,(24.062, 75.3116)
2020-04-21 04:00:22.706871,(24.062, 75.3116)
2020-04-21 04:00:28.626839,(24.062, 75.3116)
2020-04-21 04:00:34.546840,(24.062, 75.3116)
2020-04-21 04:00:40.466864,(24.062, 75.3116)
2020-04-21 04:00:46.386917,(24.062, 75.3116)
2020-04-21 04:00:52.306876,(24.062, 75.3116)
2020-04-21 04:00:58.226847,(24.062, 75.3116)
2020-04-21 04:01:04.146849,(24.062, 75.3116)
2020-04-21 04:01:10.066850,(24.062, 75.3116)
2020-04-21 04:01:15.986867,(24.062, 75.3116)
2020-04-21 04:01:21.906882,(24.062, 75.3116)
2020-04-21 04:01:27.826848,(24.062, 75.3116)
2020-04-21 04:01:33.746883,(24.0, 75.2)
2020-04-21 04:01:39.666849,(24.0, 75.2)
2020-04-21 04:01:45.586856,(24.0, 75.2)
2020-04-21 04:01:51.506872,(24.0, 75.2)
2020-04-21 04:01:57.426875,(24.0, 75.2)
2020-04-21 04:02:03.346855,(24.0, 75.2)
2020-04-21 04:02:09.266859,(24.0, 75.2)
2020-04-21 04:02:15.186882,(24.0, 75.2)
2020-04-21 04:02:21.106893,(24.0, 75.2)
2020-04-21 04:02:27.026852,(24.0, 75.2)
2020-04-21 04:02:32.946853,(24.0, 75.2)
2020-04-21 04:02:38.866842,(24.0, 75.2)
2020-04-21 04:02:44.786872,(24.0, 75.2)
2020-04-21 04:02:50.706844,(24.0, 75.2)
2020-04-21 04:02:56.626894,(24.0, 75.2)
2020-04-21 04:03:02.546852,(24.0, 75.2)
2020-04-21 04:03:08.466859,(24.0, 75.2)
